,Title,Rating
505,The Taking of Pelham 123,6.4
506,The Secret in Their Eyes,8.2
507,Vengeance johnnie to,
508,Whiteout dominic sena,
510,Ala Vaikunthapurramuloo,7.3
516,Bad Boys for Life,6.5
517,Bamfaad,5.8
518,Bheeshma,6.6
519,Birds of Prey,6.1
520,Chick Fight,4.8
521,Cut Throat City,4.9
523,Deliver Us from Evil hong wong chan,
524,Disco Raja,6.1
526,Enter the Fat Dragon,5.7
529,Fatman,5.9
530,Force of Nature,4.6
531,The Gentlemen,7.8
532,Ghosts of War,5.6
533,Greyhound,7.0
534,Guns Akimbo,6.3
535,Guns of Banaras,5.8
536,Hitman: Agent Jun,6.4
538,I Am Vengeance: Retaliation,3.5
540,Mafia: Chapter 1,5.9
543,Mortal Kombat Legends: Scorpion's Revenge,7.4
544,My Spy,6.3
545,Palasa 1978,7.4
546,Pasal Kau,4.0
547,Peninsula,5.5
548,Sarileru Neekevvaru,5.8
549,Shivarjuna,5.6
550,Sniper: Assassin's End,5.3
551,Spenser Confidential,6.2
552,Survive the Night,4.0
553,Superintelligence,5.4
554,Superman: Man of Tomorrow,6.4
555,Superman: Red Son,6.4
556,The Swordsman,6.8
557,Tanhaji,7.5
560,Vanguard,4.7
561,We Can Be Heroes,4.7
562,Aaraattu,3.8
563,Alludu Adhurs,3.2
564,Army of Thieves,6.4
565,Batman: Soul of the Dragon,6.1
566,Batman: The Long Halloween,7.5
567,Bhuj: The Pride of India,4.2
568,Black Widow,6.7
569,Boss Level,6.8
570,Bright: Samurai Soul,5.5
572,Dangerous,5.1
573,Eternals,6.3
574,Gunpowder Milkshake,6.1
575,The Hitman's Wife's Bodyguard,6.1
576,Infinite,5.5
577,Jolt,5.6
578,Justice Society: World War II,6.4
579,KGF: Chapter 2,
580,Kate,6.2
581,Krack,7.0
582,The Last Mercenary,5.3
583,Major Grom: Plague Doctor,
584,The Marksman,5.7
586,Mortal Kombat,6.0
589,The Protege,6.1
590,Raging Fire,6.5
592,Red kishore tirumala,
593,Red Notice,6.3
594,RRR,7.8
595,Satyameva Jayate 2,4.1
596,Sheenogai,8.2
597,Shang-Chi and the Legend of the Ten Rings,7.4
598,Snake Eyes,5.4
599,Sweet Girl,5.5
600,Thunder Force,4.5
606,All Quiet on the Western Front,8.1
608,Brahmastra,5.6
609,The Buy Bust Queen,7.7
612,Morbius,5.2
615,Secret Headquarters,5.2
616,Security Academy,
617,Sisu,6.9
618,Top Gun: Maverick,8.3
620,13 Assassins,7.5
